Trend,Description
Automation,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Customer Demand,A measure of consumers' desire for a product or service based on its availability.
Data explosion,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Decentralization,Decentralization is the process of distributing or dispersing functions; powers; people or things away from a central location or authority.
Demographic changes,Demographic change describes a population's age structure adjusting to changes in living conditions.
Disruptive business models and technologies;An innovation that creates a new market and value network and eventually disrupts an existing market and value network; displacing established market leading firms; products; and alliances.
Sector convergence,Sector convergence represents growth potentials for organisations; redefining the boundaries between industries. 
Sustainability,In ecology; sustainability is the property of biological systems to remain diverse and productive indefinitely.
Tensions and international conflicts,War arises because of the changing relations of numerous variables--technological; psychic; social; and intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force; trend; movement; or policy may at one time make for war; but under other conditions a similar change may make for peace.
Time to market,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Virtualization,In computing; virtualization refers to the act of creating a virtual (rather than actual) version of something; including virtual computer hardware platforms; storage devices; and computer network resources.
Vulnerability,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished; compromised or lacking.
