group,variable,value
0,0,8
0,1,3
0,2,2
0,3,1
0,4,3
0,5,6
0,6,8
0,7,8
0,8,5
0,9,9
0,10,3
0,11,7
1,0,10
1,1,10
1,2,10
1,3,1
1,4,3
1,5,8
1,6,10
1,7,9
1,8,10
1,9,5
1,10,2
1,11,7
2,0,3
2,1,1
2,2,1
2,3,1
2,4,2
2,5,4
2,6,1
2,7,6
2,8,3
2,9,5
2,10,2
2,11,4
3,0,2
3,1,1
3,2,1
3,3,1
3,4,4
3,5,3
3,6,1
3,7,3
3,8,2
3,9,3
3,10,2
3,11,3
4,0,1
4,1,2
4,2,1
4,3,1
4,4,3
4,5,10
4,6,1
4,7,6
4,8,1
4,9,0
4,10,4
4,11,3
5,0,10
5,1,3
5,2,3
5,3,1
5,4,6
5,5,8
5,6,7
5,7,10
5,8,8
5,9,10
5,10,6
5,11,10
6,0,2
6,1,1
6,2,1
6,3,1
6,4,2
6,5,4
6,6,2
6,7,5
6,8,2
6,9,1
6,10,1
6,11,2
7,0,8
7,1,10
7,2,4
7,3,10
7,4,5
7,5,9
7,6,10
7,7,8
7,8,6
7,9,2
7,10,6
7,11,9
8,0,8
8,1,5
8,2,4
8,3,2
8,4,8
8,5,7
8,6,6
8,7,8
8,8,6
8,9,2
8,10,7
8,11,8
9,0,1
9,1,1
9,2,1
9,3,0
9,4,0
9,5,1
9,6,1
9,7,3
9,8,0
9,9,0
9,10,0
9,11,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,2
10,10,0
10,11,0
11,0,4
11,1,3
11,2,2
11,3,2
11,4,10
11,5,9
11,6,4
11,7,7
11,8,5
11,9,3
11,10,10
11,11,8
